	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRHDE-AS1	3.944525196	-1.106006934	0.605819154	-1.825638768	0.067904692	1
FMR1-IT1	1.302483285	-0.693075202	0.491297082	-1.410704901	0.158331645	1
SCAT8	2.671836749	2.295218196	0.726184092	3.160656122	0.001574142	1
0.4449	1.205578696	2.410651668	1.168298922	2.063386024	0.039075967	1
0.4453	1.300442951	1.036191581	0.619796103	1.671826552	0.094558529	1
0.4454	3.921212722	0.27661907	0.316951316	0.872749397	0.382799687	1
CCDC200	6.898487166	-0.16916907	0.254584835	-0.664489972	0.506376765	1
0.4465	1.21720734	2.783304474	0.813884031	3.419780176	0.000626718	1
VLDLR-AS1	4.036182505	-0.692599586	0.467118325	-1.482706949	0.138152288	1
NRADDP	2.074503798	0.315256001	0.452423676	0.696815879	0.485918028	1
NDUFAF4P3	1.536721751	-0.225141402	0.464181454	-0.48502886	0.627655874	1
LINC01134	22.08819165	-0.362264359	0.263629968	-1.374139524	0.169398371	1
0.4477	2.715641621	0.194945936	0.494111777	0.394538128	0.693183783	1
MFF-DT	4.821841231	-0.263482047	0.256484926	-1.027280826	0.304288249	1
FAM157A	3.55743592	0.492500455	0.461750762	1.066593704	0.286155345	1
0.4479	1.673215356	0.340939204	0.416371365	0.818834417	0.412880892	1
0.4485	1.355573106	-0.36094199	0.536861791	-0.672318268	0.501381102	1
GPS2P1	3.239803533	-0.597248467	0.337468857	-1.769788397	0.076762397	1
LINC00896	7.66570366	1.383543042	0.474995012	2.912752777	0.003582581	1
0.4509	1.504401256	-0.192201962	0.494612617	-0.388590901	0.697578799	1
0.4511	1.592360821	-0.644500123	0.509862749	-1.264065918	0.206206368	1
0.4516	11.49188271	-0.153959323	0.210038423	-0.733005517	0.463555064	1
RNF217-AS1	2.740560256	0.310663954	0.528600488	0.587710305	0.556726758	1
RPL13AP5	62.66067731	0.213110417	0.180144232	1.182998837	0.236809608	1
HNRNPA3P5	3.821272547	0.381119745	0.368962825	1.032948903	0.301627811	1
STARD13-AS	1.628757002	-0.147032479	0.451008169	-0.32600846	0.744417954	1
UST-AS2	1.300230498	-1.539465841	0.587213674	-2.621645083	0.008750651	1
RANP1	22.12713078	0.741556556	0.186956329	3.966469388	7.29E-05	1
ZNF853	51.70012165	-0.275061143	0.362314384	-0.759178094	0.447746028	1
PITPNA-AS1	11.95676632	-0.079412161	0.213608046	-0.371765777	0.710067247	1
0.4539	1.724894556	0.656208705	0.478932857	1.370147599	0.170640832	1
0.4544	1.385860552	-0.096903159	0.555528931	-0.174434046	0.861524359	1
MTX1P1	7.548300052	0.413436314	0.27334569	1.512503503	0.130405822	1
MAP3K2-DT	8.6070285	0.011400806	0.398690409	0.028595637	0.977187092	1
EIF1AXP1	33.20608393	0.675539226	0.21757434	3.104866257	0.001903651	1
ARHGEF38	94.39615677	0.665923461	0.293015388	2.272656962	0.02304686	1
SMAD9-IT1	1.869286767	0.038519272	0.470990427	0.081783555	0.934818833	1
0.4564	1.54356136	-0.060762144	0.68832623	-0.088275212	0.92965794	1
CLIC4P1	1.176850552	0.255037024	0.579279131	0.440266204	0.659744315	1
LINC01186	1.536634279	1.317822454	0.53776652	2.4505476	0.01426391	1
MKLN1-AS	32.10589578	0.563768754	0.200367887	2.813668211	0.004897975	1
0.4575	6.128663924	0.732871294	0.295602005	2.479250082	0.013165896	1
INTS6-AS1	10.26534955	0.302113431	0.227791097	1.326274095	0.184748924	1
ZNF593OS	1.457052448	0.377493382	0.492561595	0.766388174	0.443445367	1
LINC00299	3.081180874	0.597587177	0.363754037	1.642833113	0.100417467	1
0.458	1.490272924	0.227202587	0.498414989	0.45585023	0.648497681	1
RPL24P8	6.929562083	0.428233722	0.229526254	1.865728711	0.062079331	1
SNX25P1	4.278489824	1.068776153	0.475841759	2.246074737	0.024699221	1
ELOA-AS1	7.331296597	-0.001335952	0.230762225	-0.005789301	0.995380832	1
0.4584	8.40028116	0.123337744	0.19159043	0.643757331	0.519732807	1
ANKRD20A7P	4.374069185	-1.030801333	0.543856022	-1.895357028	0.058045118	1
0.4587	5.579317039	0.23218534	0.380570247	0.610098508	0.541796555	1
CBR3-AS1	22.55302337	-0.025542144	0.198287932	-0.128813404	0.897505299	1
0.4588	1.728904316	-1.203620994	0.480360088	-2.505664032	0.012222169	1
SSBL2P	1.885339239	0.571197266	0.457388576	1.248822765	0.211729906	1
NIFK-AS1	34.85376414	-0.131899799	0.147771473	-0.892593112	0.372075109	1
BET1-AS1	2.687222364	-1.058498916	0.365289351	-2.897699899	0.003759101	1
ZKSCAN7-AS1	1.988051755	0.582622935	0.431766499	1.349393565	0.177210587	1
LINC00106	22.37630985	-0.241970108	0.292861067	-0.826228323	0.408674585	1
ASS1P7	9.949268685	-0.052098804	0.344120987	-0.151396764	0.879662742	1
MIR600HG	53.23060256	-0.298490172	0.179370036	-1.664102762	0.096091895	1
LINC01852	6.137522323	-0.336301712	0.26825101	-1.253682931	0.209957275	1
CLCA4-AS1	2.311623088	-1.68055052	0.604916094	-2.778154751	0.005466858	1
0.462	45.81541163	0.374741578	0.34418477	1.088780244	0.276250806	1
0.4626	1.510347328	0.554767113	0.60619867	0.915157259	0.360109079	1
EDRF1-AS1	1.714735779	-1.048351086	0.478830396	-2.189399619	0.028567807	1
ZNRF2P1	16.98186568	0.543595492	0.210365179	2.584056424	0.009764582	1
0.4645	2.55247263	-0.07295293	0.345608308	-0.211085578	0.832820493	1
0.4647	6.094668519	-0.341851917	0.272142694	-1.256149532	0.209061761	1
ZEB1-AS1	19.5984429	0.732464755	0.229651981	3.18945542	0.001425411	1
RPS28P4	1.81981532	-0.100019339	0.441143092	-0.226727655	0.820635522	1
PRMT5-AS1	1.26749672	0.704316068	0.556174487	1.266358103	0.205384904	1
0.4656	40.17337446	-1.125179238	0.407664392	-2.760062594	0.005779029	1
EHMT2-AS1	37.90225347	-0.919009776	0.343170046	-2.678001143	0.007406297	1
COX5BP6	1.396246253	0.394888175	0.515035006	0.766721039	0.443247392	1
0.4665	1.339708241	-0.059592277	0.491334072	-0.121286678	0.903463972	1
CYP2F2P	3.226260381	-0.699061326	0.336000718	-2.080535216	0.037476469	1
HAND2-AS1	34.93638598	0.057679585	0.492820236	0.117039807	0.906828509	1
0.4669	11.25430074	-0.615954752	0.221207763	-2.784507844	0.005360902	1
ZNF503-AS2	15.96112827	0.712542025	0.259441985	2.746440696	0.006024578	1
B3GNT9	69.73173177	0.425281478	0.199936779	2.127079767	0.033413456	1
PRKAR1B-AS1	3.93597333	-0.168740683	0.352120743	-0.479212562	0.631787419	1
NR2F1-AS1	24.39981886	0.10904779	0.252408193	0.43202952	0.665719958	1
CDKN2AIPNL	64.84019803	-0.009528326	0.098750604	-0.096488782	0.923132383	1
0.4693	1.897680704	0.030265568	0.469103129	0.064517941	0.948557822	1
0.4698	1.883866087	0.268959764	0.458379576	0.586762103	0.557363492	1
BMS1P10	4.209867809	0.04713283	0.399780635	0.11789673	0.906149484	1
LINC00987	5.205161827	-0.380394622	0.331642594	-1.147001707	0.251380915	1
TRBV30	2.78441656	-0.941788116	0.397095602	-2.371691128	0.017706886	1
ANO7L1	26.0152662	-0.018871854	0.228197276	-0.082699734	0.934090297	1
CKMT1B	53.18494118	-0.874105125	0.272398337	-3.208922396	0.001332334	1
SMG1P1	2.282395428	-0.503927497	0.469872277	-1.07247761	0.283505565	1
TTN-AS1	15.69874606	-0.070118793	0.242303289	-0.289384404	0.772287229	1
GS1-124K5.4	6.388946663	0.068491926	0.262737489	0.260685773	0.794334838	1
RNF223	26.47107881	-0.207366905	0.300770741	-0.689451722	0.490539045	1
CDC42P6	5.001803483	-0.768886372	0.272642301	-2.820128677	0.00480044	1
LINC01358	2.855408843	-0.294788055	0.36295631	-0.812186059	0.416684878	1
0.4733	5.135688669	-0.079149422	0.413013942	-0.191638619	0.848025289	1
TUSC8	30.00348518	1.34936924	0.427798652	3.154215735	0.001609301	1
UNQ6494	1.706105248	0.970741863	0.468632247	2.071436333	0.038318038	1
HOXD-AS2	9.917960158	-0.603770628	0.486279636	-1.241611994	0.214379754	1
PITRM1-AS1	4.63290969	0.024399886	0.283480644	0.086072493	0.93140879	1
FOXD2-AS1	98.30661455	-0.147540508	0.251626853	-0.586346434	0.557642733	1
0.4754	1.257728375	0.08860818	0.626227494	0.141495193	0.887478757	1
CAMTA1-DT	2.017857956	-0.297988586	0.439316598	-0.678300313	0.4975813	1
ASS1P12	3.712875491	1.285595821	0.355841471	3.612833028	0.00030287	1
CECR7	7.249457238	-1.140955706	0.375312802	-3.040012757	0.002365681	1
ZNF737	71.48543989	0.112051494	0.191741198	0.584389247	0.558958459	1
RGL2	466.7342775	0.339660949	0.178856057	1.899074339	0.057554702	1
LINC01637	43.70388853	-0.551936077	0.25644485	-2.15226033	0.031376856	1
C10orf143	29.69344716	-0.375451413	0.245742883	-1.527822122	0.126556708	1
LINC01409	5.041013896	-0.191393043	0.320421923	-0.597315693	0.550296629	1
0.4771	15.29005152	0.018637939	0.193541776	0.096299306	0.923282863	1
WAKMAR2	12.16525326	0.155082351	0.216196935	0.717319842	0.473176767	1
RPSAP15	2.500449157	0.504320446	0.397035308	1.270215612	0.204007838	1
UNC5B-AS1	1.439449715	1.11249688	0.675001676	1.648139435	0.099324062	1
0.4777	7.209988398	-1.155195876	0.315284937	-3.663974199	0.000248332	1
SHISA9	22.83846041	0.460035229	0.612009854	0.751679448	0.452243853	1
NONOP2	8.187931988	-0.510160875	0.224957154	-2.267813523	0.023340575	1
LINC00857	20.31244824	0.51246747	0.194809295	2.630610972	0.008523154	1
0.4781	1.195066673	-0.452866182	0.50688186	-0.893435371	0.371624068	1
HLA-DQA2	96.4721212	-0.54261061	0.53876148	-1.007144404	0.313865385	1
0.4786	149.6628462	-0.149567944	0.243372905	-0.614562843	0.538843459	1
PYY2	1.334016653	0.161776038	0.513698677	0.314923992	0.752819365	1
0.4798	1.780347355	-0.261452892	0.569738035	-0.45890019	0.646305843	1
0.4803	1.216286233	0.467378057	0.625029452	0.747769653	0.454599109	1
LINC02245	1.524250234	-1.974219998	0.685203995	-2.881214955	0.003961454	1
0.4811	28.72161109	2.28493359	0.639196773	3.574695128	0.000350636	1
KIFC1	242.3631395	1.078363672	0.288236083	3.741251473	0.000183106	1
C2orf74	4.380691932	-0.940379358	0.429207256	-2.190967988	0.028454109	1
0.4817	3.638473477	-0.089848341	0.543160298	-0.165417726	0.868615202	1
TRBV3-1	4.49638834	-0.738710535	0.406000101	-1.819483627	0.068837679	1
0.483	7.483833345	0.954156725	0.452512989	2.108573121	0.034981445	1
CT75	1.319651199	0.541068313	0.681877178	0.7934982	0.427487618	1
UQCRBP1	4.65978843	-0.28169368	0.296772899	-0.949189365	0.342524309	1
0.4838	14.91051462	0.001174223	0.226045059	0.005194641	0.995855295	1
FAM200B	121.6734003	-0.171142327	0.109003352	-1.570064811	0.116400034	1
0.4846	2.527689701	0.203649188	0.345326093	0.589730091	0.555371618	1
ADAMTSL4-AS2	2.377746537	-0.276245793	0.428916426	-0.644055056	0.519539733	1
MACORIS	1.133502409	0.290612888	0.629910085	0.461356144	0.644543111	1
0.4851	21.22558489	0.08201838	0.497825295	0.16475334	0.869138131	1
PA2G4P1	1.499479676	0.851549088	0.608790876	1.398754683	0.16188656	1
PHKA2-AS1	2.312541547	-0.017871347	0.368980482	-0.048434396	0.961370047	1
FAM21FP	3.245333758	-0.311538515	0.352640036	-0.883446243	0.376995215	1
SMU1P1	6.811084688	-0.031900058	0.248388597	-0.128428031	0.89781025	1
LINC00674	31.17979288	-0.241600861	0.180923201	-1.335377991	0.181752664	1
LINC01473	3.430368881	0.870676875	0.345826299	2.51767109	0.011813358	1
DGUOK-AS1	19.59071586	-0.558343924	0.238315119	-2.34288083	0.019135494	1
NALT1	14.65398849	0.664756129	0.348342149	1.908342502	0.056346963	1
PARP4P1	1.56868076	0.270786559	0.833882353	0.32472993	0.74538548	1
0.4886	1.577274321	0.426664099	0.469170108	0.909401711	0.363138119	1
CLIC4P3	1.182141203	0.433837241	0.561165809	0.773099919	0.439463249	1
0.4889	2.416180476	0.051532876	0.373054723	0.138137578	0.890131688	1
LINC01238	8.606841923	-0.614309374	0.427226965	-1.437899346	0.150462615	1
PRKCQ-AS1	27.29651892	0.20994138	0.22435503	0.935755171	0.349399258	1
LINC00649	38.49567648	-0.41876801	0.306106135	-1.368048406	0.171296925	1
0.4891	4.516252132	0.60877682	0.266890876	2.280995249	0.022548728	1
MTCO1P12	409.1533	-0.366220502	0.325165856	-1.126257557	0.260056517	1
FLG-AS1	2.231769085	-0.356648609	0.570047749	-0.625646904	0.531546567	1
EIF4HP2	1.406773898	0.180793541	0.48507393	0.372713373	0.709361782	1
KCNMB2-AS1	2.039883957	1.460046721	0.613063637	2.381558182	0.017239567	1
PTENP1	1.499946529	-0.922554833	0.575741133	-1.602377838	0.109072082	1
OR2I1P	142.5670334	0.160913942	0.514851418	0.312544428	0.754626804	1
LINC01679	4.688262149	-0.014677171	0.332213192	-0.044179977	0.964760943	1
PSME2P1	5.456589903	0.247517393	0.280840457	0.881345216	0.378131	1
0.4903	6.882047466	0.409308918	0.303716371	1.347668277	0.1777651	1
0.491	9.004698717	-0.263255268	0.278014547	-0.946911844	0.343683702	1
0.4915	4.244498898	-0.118381099	0.288210135	-0.410745787	0.681258949	1
0.4916	1.597474178	-1.168124088	0.475901523	-2.454550008	0.014106104	1
TMEM230P2	9.936314393	0.059806293	0.216318736	0.276473013	0.782184784	1
0.4918	125.0837017	-0.652671683	0.187981056	-3.47200776	0.000516581	1
0.4922	4.621237291	0.647716686	0.280411572	2.309878586	0.020894877	1
SPATA3-AS1	4.411493443	0.958190972	0.449422951	2.132047259	0.033002962	1
CDC26P1	7.340217602	0.399411767	0.219960474	1.815834273	0.069395798	1
LINC01352	1.697212519	-2.50202325	0.666604389	-3.753385503	0.000174462	1
NUDCP2	1.322289377	0.541229025	0.489020424	1.106761595	0.268397017	1
LRRC37A2	14.44794135	-0.243540673	0.241954342	-1.006556321	0.314148034	1
ABCA17P	2.881693121	2.579542897	0.756577331	3.409490071	0.000650844	1
RPL9P7	3.393397291	-0.039947694	0.30160268	-0.132451389	0.89462727	1
GOLGA2P5	143.4124626	-0.654154407	0.181985673	-3.594537941	0.000324968	1
LINC01410	4.964623862	0.153380946	0.324112611	0.473233504	0.636046597	1
LINC01589	1.660543918	-0.740650919	0.482408879	-1.535317758	0.124705794	1
LINC00426	16.26776068	-0.695335083	0.277359273	-2.506983368	0.012176644	1
MID1IP1-AS1	9.913213291	0.868394319	0.250735309	3.463390634	0.000533413	1
MAP3K20-AS1	3.102784221	1.803152202	0.518977193	3.474434378	0.000511932	1
0.4941	3.503899583	-0.158376079	0.331790599	-0.477337451	0.633121846	1
TNFRSF14-AS1	204.1661957	-0.64392544	0.247811545	-2.598448105	0.00936462	1
CD81-AS1	1.187899488	0.600630508	0.632978704	0.948895285	0.342673873	1
0.4955	1.956295098	-0.490733286	0.413543459	-1.186654692	0.235363853	1
PAXBP1-AS1	11.02266891	-0.300566619	0.218152355	-1.377783064	0.168270276	1
LRIG2-DT	2.228033379	-0.610515323	0.473881608	-1.288328798	0.197631533	1
MKRN4P	2.768607315	-0.471770981	0.382623551	-1.232989918	0.217579526	1
TMEM250	571.6856791	0.081182865	0.112297221	0.722928532	0.469723793	1
OR7E7P	1.18253097	-0.117215312	0.551649598	-0.21248146	0.83173144	1
OR2W3	3.696627869	-1.414364633	0.512871457	-2.75773708	0.005820299	1
0.4968	5.713803799	-0.271279151	0.611759348	-0.443440957	0.657446817	1
NSA2P7	6.46316639	0.364047333	0.306026221	1.189595232	0.234205521	1
0.4972	3.557627559	-0.232013832	0.378276099	-0.613345206	0.539648108	1
0.4976	4.994279963	0.164277997	0.346863865	0.473609427	0.635778451	1
ALG1L6P	7.226699516	0.031837312	0.220655836	0.144284928	0.885275479	1
0.4979	16.56372943	1.187898328	0.360729987	3.29304014	0.000991103	1
0.4982	2.153193401	0.388662888	0.476683727	0.815347506	0.414873423	1
0.4983	1.382052578	0.259362788	0.565801867	0.458398609	0.646666091	1
0.5004	5.208406962	-0.560559779	0.488967913	-1.14641424	0.251623793	1
SCARNA7	14.44164539	-0.176426552	0.346739333	-0.508816091	0.610881139	1
0.501	1.753063763	-0.234103861	0.474020088	-0.493869071	0.621398649	1
LINC02031	1.210145757	-1.338433755	0.674449511	-1.984483247	0.047201994	1
SNORD123	1.241622124	0.50937497	0.563812141	0.903448033	0.366288157	1
NCK1-DT	25.69462378	0.159280295	0.158511161	1.004852239	0.314968005	1
RPL34P31	1.157050947	0.969345005	0.538665581	1.799530246	0.071934844	1
TXNDC5	176.2573464	-0.614449585	0.22267175	-2.759441128	0.005790032	1
0.5036	2.046233699	-1.405100713	0.743313194	-1.890321233	0.058715011	1
CASTOR1	4.05405233	0.410922273	0.371342687	1.106585069	0.268473366	1
0.504	1.433754262	-0.696461449	0.470639236	-1.479820201	0.138921236	1
RNF103	374.4268117	-0.364784158	0.119865244	-3.04328549	0.002340102	1
RBM14	305.7874887	0.208121475	0.092894543	2.24040581	0.025064589	1
LINC01119	1.7205091	0.232657585	0.52293527	0.444907044	0.656386932	1
HNRNPA1P26	5.649846687	0.217326477	0.329578825	0.659406676	0.509634656	1
ZNF775-AS1	1.984793255	0.932026523	0.466354294	1.998537453	0.045658424	1
ALKBH6	26.61825398	-0.044186216	0.164385771	-0.26879587	0.788086772	1
ASB14	4.819226415	-0.879666638	0.278741282	-3.15585346	0.001600292	1
0.5053	8.250285969	0.437687143	0.253567661	1.726115786	0.084326584	1
0.5055	7.299162448	0.572981313	0.247968948	2.310697837	0.020849551	1
ST3GAL6-AS1	1.571990109	0.360502501	0.604312603	0.596549698	0.550808064	1
0.5062	7.815522038	1.614325512	0.470223451	3.43310294	0.000596715	1
0.5063	1.243635301	1.101661081	0.59786369	1.842662633	0.065378283	1
KLHL41	1.471280843	0.107148542	0.513433505	0.208690201	0.83469009	1
CASTOR3	38.41741531	-0.182163621	0.237986088	-0.76543811	0.444010707	1
MYLK-AS1	4.274657321	-0.060732982	0.274376998	-0.221348665	0.82482096	1
HOXB-AS2	5.28764054	0.506290673	0.439494981	1.151982832	0.249328128	1
0.5071	2.584992217	-0.400808081	0.433485564	-0.924616904	0.355165217	1
PPP2R5CP	3.230598423	0.22672225	0.305446689	0.742264553	0.457927064	1
RPL37P2	22.44638464	0.385537608	0.192253255	2.005363221	0.044924231	1
KMT2E-AS1	29.74080963	-0.131926603	0.199121225	-0.662544152	0.507622549	1
IGKV2D-30	39.97389767	-1.548207095	0.490110409	-3.158894539	0.001583688	1
HMGN1P7	1.880037256	-0.270991567	0.447199574	-0.605974564	0.544531644	1
TFAP2E-AS1	1.525952333	-0.339418681	0.474647189	-0.71509679	0.474549237	1
PSMD6-AS2	5.376702157	-0.664252051	0.311642083	-2.131458129	0.033051418	1
0.5081	66.00710618	0.000815282	0.148104854	0.005504762	0.995607858	1
TNFSF12	93.02200403	-0.484138561	0.298419597	-1.622341713	0.104730202	1
CDRT4	2.935724266	-0.921781623	0.399509466	-2.307283559	0.021039017	1
APOBEC3G	66.37696249	-0.449164156	0.219303337	-2.048140995	0.040546186	1
0.5095	5.069097584	-0.283038176	0.317146845	-0.892451496	0.37215098	1
WBP1	82.67157401	-0.374863788	0.203259652	-1.844260697	0.065145156	1
MRPS17	44.44988441	0.371681964	0.156164105	2.380072967	0.01730921	1
IGKV1D-8	21.1763211	-0.97929434	0.413139816	-2.370370276	0.017770279	1
SUGT1P3	6.53004421	0.757576414	0.254591652	2.975653002	0.002923655	1
IGKV1-6	142.90305	-1.258184083	0.474960421	-2.649029326	0.008072333	1
GET4	36.83780566	0.520814192	0.214001337	2.433695969	0.014945543	1
PARGP1	15.81962116	0.198926152	0.211144437	0.942133048	0.346124527	1
C1orf226	194.1703755	-0.513763277	0.153999587	-3.336134124	0.000849522	1
ZNF736P9Y	3.097735071	1.076920085	0.723645046	1.488188292	0.136701244	1
ADSL	34.6750558	0.214719128	0.147184875	1.458839624	0.144609254	1
PRKAG2-AS1	20.26553073	-0.248941856	0.376045415	-0.661999445	0.507971578	1
0.511	1.219123032	-0.023194768	0.54779285	-0.042342225	0.966225885	1
IGKV3-20	1427.976038	-1.262705992	0.397240883	-3.178690932	0.001479417	1
IGKV1D-33	9.079072169	-1.583975642	0.390992101	-4.051170437	5.10E-05	1
LILRA2	11.0232121	0.170355278	0.2718116	0.626740277	0.530829498	1
STIM2-AS1	1.414696181	0.01124357	0.506608722	0.022193795	0.982293367	1
LINC00888	25.81094302	0.346063765	0.240638932	1.438103811	0.150404602	1
LNCSRLR	1.129430344	0.815073059	0.581633307	1.401352105	0.161108807	1
0.5126	1.170815074	0.559203994	0.529638395	1.055822236	0.291049437	1
AMY2B	32.27466121	-0.490661131	0.227855741	-2.153384983	0.031288435	1
IGHJ4	7.164910194	-1.701973317	0.486568527	-3.497910824	0.000468918	1
LY6G5B	25.59873527	-0.377047576	0.185683353	-2.030594392	0.042296157	1
0.513	1.180794057	0.98198457	0.635883815	1.544283007	0.122519787	1
PSMB9	458.2146245	0.301215707	0.220900036	1.36358378	0.1726986	1
RPSAP12	2.766734272	-0.061794823	0.354065609	-0.174529301	0.861449506	1
PSMD12P1	1.384111107	0.059468417	0.478485012	0.124284807	0.901089777	1
ERICH6-AS1	2.960288112	0.142667396	0.367408659	0.388307115	0.697788773	1
0.5141	1.222261349	-0.391060979	0.510738519	-0.765677474	0.443868234	1
PCDHGC3	155.7345746	0.248302407	0.241966	1.026187177	0.304803364	1
SMKR1	5.907234107	1.568840229	0.564053934	2.781365634	0.005413073	1
0.5147	8.495834708	0.153077284	0.279910345	0.546879697	0.584461385	1
CPHL1P	1.157611705	-1.156437799	0.66299808	-1.744255123	0.081114613	1
ZNF542P	29.45863738	-0.315018569	0.273708004	-1.150929327	0.249761311	1
COX19	213.0225774	0.434664492	0.150402856	2.89000158	0.003852399	1
0.5153	1.955321541	-2.044804148	0.60044204	-3.405497971	0.000660435	1
RN7SL541P	2.200557153	-0.028479672	0.3967854	-0.071776007	0.942780167	1
GHRLOS	3.315387639	0.129736447	0.345673432	0.375315065	0.707426164	1
0.5158	8.894607674	-0.262448228	0.307050035	-0.854740914	0.392694595	1
ACAD11	1.898008414	-0.042200999	0.413214374	-0.102128585	0.918654612	1
RPS2P5	370.0005834	0.494040151	0.295725362	1.670604602	0.094799803	1
PPIL3	164.4635842	0.143950577	0.081067088	1.775696907	0.075782888	1
RPL23AP7	18.94793868	0.156130923	0.179496882	0.869825268	0.384395901	1
RPL13P5	10.08573984	0.607557444	0.23049263	2.635908326	0.00839124	1
0.5166	33.63307521	-0.245371707	0.165064804	-1.486517418	0.137142313	1
IGKV1-17	454.1601468	-1.003385681	0.498312309	-2.013567922	0.044054917	1
RPL5P23	6.027517697	0.032446354	0.264017363	0.122894775	0.902190423	1
0.517	3.052196725	-0.720812321	0.380746149	-1.893157221	0.058336964	1
KIR3DL2	1.923843395	-1.308638757	0.470547665	-2.781097123	0.005417553	1
LRRFIP1P1	13.4577461	0.783801365	0.266266549	2.943671926	0.003243436	1
FOXO3B	3.440362544	0.245073694	0.305706006	0.801664637	0.422746977	1
REPIN1-AS1	20.06930612	0.132024923	0.269336445	0.490185882	0.62400237	1
PHBP8	1.972368365	0.028346999	0.493403529	0.057451958	0.954185175	1
SETP14	7.470420576	1.078217966	0.305424992	3.530221799	0.000415211	1
CDKN2B-AS1	352.9703454	-1.785997644	0.639477734	-2.792900441	0.005223777	1
RPL34P18	8.289238804	-0.106926539	0.262521543	-0.407305769	0.683783426	1
UOX	3.251499089	-0.632525023	0.39075367	-1.618730857	0.105505185	1
RPL7AP10	1.603009995	-0.07105565	0.4497626	-0.157984789	0.874468785	1
0.5189	14.00941956	0.430007271	0.180589765	2.381127581	0.017259733	1
TM4SF1-AS1	2.244882656	1.849532908	0.579114779	3.193724242	0.001404502	1
L1TD1	133.4851077	-0.055465993	0.542807167	-0.102183605	0.918610941	1
AQP1	817.7371897	0.150103924	0.33160777	0.452655028	0.650797167	1
AADACP1	21.16365157	0.168741195	0.317431261	0.531583419	0.595014552	1
RPS6P25	5.055864076	0.946751026	0.294412008	3.215735089	0.001301109	1
C1QTNF9	3.071031685	-0.181453995	0.564847323	-0.321244322	0.748025247	1
KRT8P36	2.734885469	-0.257820872	0.463664703	-0.556050247	0.578176506	1
IGKV1-8	35.03827368	-0.926230704	0.49701435	-1.863589461	0.062379379	1
ISY1	84.18338902	0.143283969	0.125452974	1.142132905	0.25339878	1
PNMA2	38.34137117	0.749389075	0.383282579	1.955186895	0.050561015	1
0.521	5.324952322	-0.147118302	0.238735002	-0.616241022	0.537735458	1
0.5211	1.837831334	-0.90434012	0.433098985	-2.088067973	0.036791704	1
0.5213	11.56229213	-0.206835027	0.189456334	-1.091729281	0.274952111	1
KRBOX1	1.494953478	-1.19668768	0.664069355	-1.802052259	0.071537184	1
PCDHGC5	1.46680246	1.061129187	0.627661065	1.690608587	0.090911584	1
ARHGEF25	72.16775188	-0.071338006	0.298107893	-0.239302642	0.810870917	1
CAP1P1	10.56257622	-0.393016204	0.22683545	-1.732604863	0.083165924	1
PEDS1	179.9768237	0.381083437	0.151835787	2.509839385	0.012078609	1
PSMC2P1	6.991702837	0.474935774	0.272460018	1.743139337	0.081309279	1
RDH14	114.5258664	-0.086197811	0.083294265	-1.034858899	0.300734812	1
0.5232	10.67756222	-0.580490263	0.360505585	-1.610211568	0.107351677	1
IGKV1-16	447.4994973	-1.063879783	0.490094069	-2.170766491	0.029948828	1
LINC00886	20.39585126	0.389031623	0.359187262	1.083088583	0.278769106	1
NDUFB2-AS1	2.021764356	0.675806766	0.417082636	1.62031863	0.105163849	1
PLCXD2	65.85436031	-0.273430851	0.143378771	-1.907052552	0.056513783	1
0.524	2.795250199	-0.57433263	0.369364205	-1.554922276	0.119964581	1
RPL15P2	1.20231727	0.374593401	0.566297154	0.661478515	0.508305489	1
0.5245	20.22287327	0.710885115	0.211297972	3.364372629	0.000767179	1
RPL23AP64	2.610189268	-0.578572	0.367279275	-1.575291717	0.115189125	1
MIF	4.028796969	0.447075855	0.454161903	0.984397529	0.324920092	1
HOXA11-AS	150.1509886	-0.088596118	0.417447498	-0.21223296	0.831925294	1
SEPTIN7P6	7.6718791	0.186182204	0.269979354	0.689616451	0.490435419	1
GPR199P	3.421972456	-0.409510389	0.296466979	-1.381301855	0.167186168	1
TPM3P9	60.91531589	0.159677256	0.221873577	0.719676755	0.471724042	1
NSUN6	86.5464842	0.147892439	0.174038216	0.849769908	0.395453023	1
RPL5P1	2.707842915	0.035136764	0.359512445	0.097734486	0.922143131	1
CYP51A1P1	1.270263034	0.626819904	0.490616377	1.277617163	0.201384446	1
HLA-DOB	18.29302328	-0.800726711	0.318836119	-2.511405273	0.012025155	1
YAE1	177.8335302	0.995025103	0.260084615	3.82577456	0.000130362	1
ARHGAP31-AS1	3.820841644	0.069733419	0.453787412	0.153669796	0.877870101	1
ADAMTS9-AS1	5.947139202	0.93436596	0.557097732	1.677202952	0.093502802	1
LINC00877	4.029522607	-1.120977249	0.369690104	-3.032207889	0.002427719	1
0.5274	4.105311802	-0.761294416	0.320741852	-2.373542499	0.017618365	1
C3orf85	40.14303047	-0.921295261	0.357568517	-2.576555866	0.009979008	1
CRCP	322.3339049	0.296249198	0.125059292	2.368869947	0.017842526	1
0.5288	4.779029365	0.938628361	0.412091894	2.277716144	0.022743495	1
ENPP7P4	2.53655717	-0.91479715	0.397386676	-2.302032766	0.021333324	1
LINC02614	25.92730865	-0.363640128	0.227469369	-1.598633392	0.109902086	1
IGKV2-24	164.7337806	-1.481774937	0.450539718	-3.288888591	0.001005838	1
